ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,BlockList,BlockList.Cycle,BlockList.Sample,PostTestQ1.RESP,PostTestQ1CJ.RESP,PostTestQ2.RESP,PostTestQ2CJ.RESP,PostTestQ3.RESP,PostTestQ3CJ.RESP,PostTestSlide.RESP,Procedure[Block],Running[Block],Trial,CorrectResponse,Distractor,DistractorList,Fixation.ACC,Fixation.CRESP,Fixation.DurationError,Fixation.OnsetDelay,Fixation.OnsetTime,Fixation.OnsetToOnsetTime,Fixation.RESP,Fixation.RT,Fixation.RTTime,ItemColor,Jitter,JitterList,JitterTime,Lime0List,Orientation,Pos1Color,Pos1Item,Pos2Color,Pos2Item,Pos3Color,Pos3Item,Pos4Color,Pos4Item,Pos5Color,Pos5Item,Pos6Color,Pos6Item,PracticeTrialList,PracticeTrialList.Cycle,PracticeTrialList.Sample,Procedure[Trial],Red0List,Running[Trial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,Target,TargetColor,TargetList,TestTrialList,TestTrialList.Cycle,TestTrialList.Sample,TrainingTrialList,TrainingTrialList.Cycle,TrainingTrialList.Sample
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,1,1,Distractor1.bmp,1,0,,0,37,179482,501,,0,0,yellow,500,2,500,,vertical,cyan,Distractor1.bmp,blue,Distractor1.bmp,yellow,Distractor2.bmp,red,Target1.bmp,lime,Distractor1.bmp,purple,Distractor1.bmp,4,1,1,TrialProc,2,PracticeTrialList,1,1,-999999,1,179983,0,1,1718,181701,Target1.bmp,red,1,,,,,,
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,2,2,Distractor1.bmp,1,0,,0,1,182719,500,,0,0,yellow,500,2,500,2,horizontal,red,Distractor2.bmp,blue,Distractor1.bmp,cyan,Distractor1.bmp,yellow,Distractor2.bmp,lime,Target2.bmp,purple,Distractor1.bmp,5,1,2,TrialProc,,PracticeTrialList,1,2,-999999,0,183219,0,2,1226,184445,Target2.bmp,lime,2,,,,,,
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,3,2,Distractor2.bmp,2,0,,0,1,185471,601,,0,0,cyan,600,3,600,,horizontal,cyan,Distractor2.bmp,red,Target2.bmp,purple,Distractor2.bmp,yellow,Distractor1.bmp,lime,Distractor1.bmp,blue,Distractor2.bmp,2,1,3,TrialProc,4,PracticeTrialList,1,2,-999999,1,186072,0,2,1429,187501,Target2.bmp,red,2,,,,,,
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,4,1,Distractor2.bmp,2,0,,0,1,188524,400,,0,0,lime,400,1,400,,vertical,purple,Distractor2.bmp,blue,Distractor2.bmp,yellow,Distractor2.bmp,cyan,Distractor1.bmp,lime,Distractor2.bmp,red,Target1.bmp,6,1,4,TrialProc,6,PracticeTrialList,1,1,-999999,0,188924,0,1,809,189733,Target1.bmp,red,1,,,,,,
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,5,1,Distractor2.bmp,2,0,,0,1,190743,400,,0,0,red,400,1,400,1,vertical,lime,Target1.bmp,purple,Distractor2.bmp,yellow,Distractor1.bmp,blue,Distractor2.bmp,cyan,Distractor1.bmp,red,Distractor1.bmp,1,1,5,TrialProc,,PracticeTrialList,0,1,-999999,0,191143,0,2,830,191973,Target1.bmp,lime,1,,,,,,
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,6,2,Distractor1.bmp,1,0,,0,1,192995,600,,0,0,purple,600,3,600,5,horizontal,blue,Distractor1.bmp,purple,Distractor2.bmp,lime,Target2.bmp,red,Distractor1.bmp,yellow,Distractor2.bmp,cyan,Distractor1.bmp,3,1,6,TrialProc,,PracticeTrialList,1,2,-999999,0,193595,0,2,961,194556,Target2.bmp,lime,2,,,,,,
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,1,1,Distractor2.bmp,2,0,,0,32,202804,500,,0,0,blue,500,2,500,3,vertical,lime,Target1.bmp,blue,Distractor2.bmp,yellow,Distractor1.bmp,purple,Distractor1.bmp,red,Distractor2.bmp,cyan,Distractor2.bmp,,,,TrialProc,,TrainingTrialList,1,1,-999999,0,203304,0,1,1052,204356,Target1.bmp,lime,1,,,,1,1,1
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,2,2,Distractor1.bmp,1,0,,0,1,205373,400,,0,0,cyan,400,1,400,4,horizontal,cyan,Distractor1.bmp,blue,Distractor2.bmp,yellow,Distractor1.bmp,lime,Target2.bmp,purple,Distractor1.bmp,red,Distractor1.bmp,,,,TrialProc,,TrainingTrialList,0,2,-999999,0,205773,0,1,1319,207092,Target2.bmp,lime,2,,,,4,1,2
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,3,1,Distractor1.bmp,1,0,,0,1,208108,601,,0,0,blue,600,3,600,,vertical,blue,Distractor2.bmp,yellow,Distractor1.bmp,red,Target1.bmp,lime,Distractor1.bmp,purple,Distractor1.bmp,cyan,Distractor1.bmp,,,,TrialProc,3,TrainingTrialList,1,1,-999999,1,208709,0,1,727,209436,Target1.bmp,red,1,,,,9,1,3
KW_Experiment5A,36,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">6171523856253</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-36-1,59.946,1.0.0.105,1,-343524022,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:10,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,4,2,Distractor1.bmp,1,0,,0,1,210461,500,,0,0,yellow,500,2,500,2,horizontal,yellow,Distractor1.bmp,lime,Target2.bmp,cyan,Distractor1.bmp,red,Distractor2.bmp,blue,Distractor1.bmp,purple,Distractor2.bmp,,,,TrialProc,,TrainingTrialList,1,2,-999999,0,210961,0,2,699,211660,Target2.bmp,lime,2,,,,2,1,4
