ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,BlockList,BlockList.Cycle,BlockList.Sample,PostTestQ1.RESP,PostTestQ1CJ.RESP,PostTestQ2.RESP,PostTestQ2CJ.RESP,PostTestQ3.RESP,PostTestQ3CJ.RESP,PostTestSlide.RESP,Procedure[Block],Running[Block],Trial,CorrectResponse,Distractor,DistractorList,Fixation.ACC,Fixation.CRESP,Fixation.DurationError,Fixation.OnsetDelay,Fixation.OnsetTime,Fixation.OnsetToOnsetTime,Fixation.RESP,Fixation.RT,Fixation.RTTime,ItemColor,Jitter,JitterList,JitterTime,Lime0List,Orientation,Pos1Color,Pos1Item,Pos2Color,Pos2Item,Pos3Color,Pos3Item,Pos4Color,Pos4Item,Pos5Color,Pos5Item,Pos6Color,Pos6Item,PracticeTrialList,PracticeTrialList.Cycle,PracticeTrialList.Sample,Procedure[Trial],Red0List,Running[Trial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,Target,TargetColor,TargetList,TestTrialList,TestTrialList.Cycle,TestTrialList.Sample,TrainingTrialList,TrainingTrialList.Cycle,TrainingTrialList.Sample
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,1,2,Distractor2.bmp,2,0,,0,35,126487,500,,0,0,cyan,500,2,500,4,horizontal,red,Distractor1.bmp,yellow,Distractor2.bmp,purple,Distractor1.bmp,cyan,Distractor1.bmp,lime,Target2.bmp,blue,Distractor2.bmp,5,1,1,TrialProc,,PracticeTrialList,1,2,-999999,0,126987,0,2,2313,129300,Target2.bmp,lime,2,,,,,,
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,2,1,Distractor1.bmp,1,0,,0,1,130324,500,,0,0,lime,500,2,500,,vertical,purple,Distractor1.bmp,cyan,Distractor2.bmp,yellow,Distractor2.bmp,blue,Distractor2.bmp,lime,Distractor1.bmp,red,Target1.bmp,6,1,2,TrialProc,6,PracticeTrialList,1,1,-999999,0,130824,0,1,1012,131836,Target1.bmp,red,1,,,,,,
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,3,1,Distractor2.bmp,2,0,,0,1,132859,601,,0,0,cyan,600,3,600,,vertical,cyan,Distractor2.bmp,red,Target1.bmp,purple,Distractor2.bmp,yellow,Distractor2.bmp,blue,Distractor2.bmp,lime,Distractor1.bmp,2,1,3,TrialProc,4,PracticeTrialList,0,1,-999999,1,133460,0,2,784,134244,Target1.bmp,red,1,,,,,,
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,4,1,Distractor2.bmp,2,0,,0,0,135261,501,,0,0,cyan,500,2,500,,vertical,lime,Distractor2.bmp,purple,Distractor1.bmp,cyan,Distractor1.bmp,red,Target1.bmp,yellow,Distractor2.bmp,blue,Distractor2.bmp,4,1,4,TrialProc,4,PracticeTrialList,1,1,-999999,1,135762,0,1,953,136715,Target1.bmp,red,1,,,,,,
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,5,1,Distractor2.bmp,2,0,,0,1,137730,601,,0,0,blue,600,3,600,3,vertical,lime,Target1.bmp,purple,Distractor2.bmp,cyan,Distractor1.bmp,yellow,Distractor2.bmp,red,Distractor1.bmp,blue,Distractor1.bmp,1,1,5,TrialProc,,PracticeTrialList,0,1,-999999,1,138331,0,2,880,139211,Target1.bmp,lime,1,,,,,,
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,6,2,Distractor1.bmp,1,0,,0,1,140233,500,,0,0,red,500,2,500,1,horizontal,yellow,Distractor1.bmp,red,Distractor1.bmp,lime,Target2.bmp,purple,Distractor1.bmp,blue,Distractor1.bmp,cyan,Distractor2.bmp,3,1,6,TrialProc,,PracticeTrialList,1,2,-999999,0,140733,0,2,2094,142827,Target2.bmp,lime,2,,,,,,
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,1,1,Distractor2.bmp,2,0,,0,35,157198,601,,0,0,purple,600,3,600,5,vertical,purple,Distractor2.bmp,blue,Distractor2.bmp,red,Distractor1.bmp,yellow,Distractor1.bmp,cyan,Distractor1.bmp,lime,Target1.bmp,,,,TrialProc,,TrainingTrialList,1,1,-999999,1,157799,0,1,1052,158851,Target1.bmp,lime,1,,,,6,2,1
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,2,2,Distractor2.bmp,2,0,,0,1,159867,601,,0,0,yellow,600,3,600,,horizontal,yellow,Distractor2.bmp,blue,Distractor1.bmp,purple,Distractor2.bmp,cyan,Distractor1.bmp,lime,Distractor2.bmp,red,Target2.bmp,,,,TrialProc,2,TrainingTrialList,1,2,-999999,1,160468,0,2,711,161179,Target2.bmp,red,2,,,,12,2,2
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,3,1,Distractor1.bmp,1,0,,1,0,162202,401,,0,0,blue,400,1,400,3,vertical,blue,Distractor1.bmp,yellow,Distractor2.bmp,lime,Target1.bmp,red,Distractor1.bmp,purple,Distractor1.bmp,cyan,Distractor2.bmp,,,,TrialProc,,TrainingTrialList,1,1,-999999,1,162603,0,1,720,163323,Target1.bmp,lime,1,,,,3,2,3
KW_Experiment5A,47,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215292</Frequency><Timestamp dt:dt=""r8"">1614305785783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-25T20:23:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-47-1,59.945,1.0.0.105,2,-601304168,Professional,2.0.10.353,2.0.10.353,10/25/2018,10/25/2018 20:23,16:23:46,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,4,2,Distractor1.bmp,1,0,,0,1,164338,500,,0,0,yellow,500,2,500,,horizontal,yellow,Distractor1.bmp,blue,Distractor1.bmp,red,Target2.bmp,lime,Distractor1.bmp,cyan,Distractor2.bmp,purple,Distractor1.bmp,,,,TrialProc,2,TrainingTrialList,1,2,-999999,0,164838,0,2,557,165395,Target2.bmp,red,2,,,,9,2,4
